annotation_id,image_id,box_area,box_image_ratio
1,0,19148.501136130544,0.062332360469174945
2,0,4589.377409392236,0.014939379587865351
9,2,6603.292249446872,0.02149509195783487
10,2,19348.52022614164,0.06298346427780482
15,5,3590.6457682785785,0.011688300026948498
18,5,23812.804486870864,0.07751563960569943
19,5,3976.818527100321,0.012945372809571356
21,5,8134.936014537322,0.026480911505655347
22,6,3740.35674464395,0.012175640444804525
25,6,35298.346085862555,0.11490347033158384
26,6,7808.388502486646,0.025417931323198716
28,6,9039.0,0.029423828125
49,16,607.7547772256373,0.0019783684154480383
56,19,5130.649527091866,0.016701333096002167
71,28,1714.2324485016707,0.005580183751633042
76,29,2352.827115758638,0.007658942434110149
80,30,1153.4090739731116,0.003754586829339556
85,31,2150.3711186856035,0.006999905985304699
88,32,12993.565167738676,0.04229676161373267
89,33,2870.671920846531,0.009344635159005635
95,37,2725.588893661711,0.008872359679888383
96,37,1968.50836855267,0.006407904845549056
105,38,1663.871261850057,0.005416247597168154
106,39,368.84076130724475,0.001200653519880354
107,40,393.7915504188577,0.001281873536519719
109,40,93.46148795719925,0.000304236614444008
119,41,100.8490826671182,0.0003282847743070254
144,53,1863.0355585161224,0.006064568875378002
145,53,42280.79306729668,0.1376327899326064
151,55,12765.004488085222,0.041552748984652416
154,55,184532.43555140894,0.6006915219772426
157,56,3484.9731440686605,0.011344313620015171
158,56,372.6071915041955,0.0012129140348443863
159,56,62171.56237988456,0.2023813879553534
160,57,44304.8106367728,0.14422138879157814
162,58,5400.0,0.017578125
163,60,7456.911150982289,0.024273799319603804
173,63,555.5021110096304,0.0018082751009428073
184,69,1169.8961795197145,0.0038082557927074036
185,69,210.07850147395604,0.0006838492886522006
188,70,719.1221442614947,0.002340892396684553
193,71,504.2042322114435,0.001641289818396626
197,72,686.6002314257659,0.002235026795005748
208,77,186.00409613898344,0.0006054820837857534
209,77,88.3847591363672,0.00028771080448036193
215,79,500.39598040943537,0.0016288931653952975
221,81,200.67799933211728,0.0006532486957425693
226,82,3813.850145232044,0.012414876774843892
236,94,4957.372689594937,0.016137280890608518
246,99,14443.757953799468,0.04701744125585764
262,104,233.27979107002812,0.0007593743198894145
274,106,3616.0363350510966,0.011770951611494456
280,107,565.2533793902559,0.0018400175110359891
282,107,186.7750009383649,0.0006079915395129066
306,119,2244.000000000002,0.007304687500000006
307,119,25365.0,0.082568359375
311,120,412.1869996712119,0.0013417545562213929
320,120,753.7434904473495,0.0024535920912999655
321,121,119.99988555908203,0.00039062462747097015
326,123,189.07065132656038,0.0006154643597869804
336,123,769.8874700933243,0.0025061441083767066
337,123,143.55090504628618,0.0004672881023642128
340,124,558.7743748221176,0.0018189270013740807
363,130,868.0,0.0028255208333333335
370,132,1269.8742034285003,0.004133705089285483
387,137,4940.9188259360035,0.016083720136510427
388,138,11096.0,0.036119791666666665
419,149,680.0000000000009,0.0022135416666666696
420,149,1845.0,0.006005859375
425,151,1728.0,0.005625
428,153,4455.0,0.014501953125
432,154,10250.0,0.033365885416666664
445,163,6786.000000000004,0.02208984375000001
471,176,2352.0,0.00765625
479,176,1659.0,0.005400390625
481,176,15996.0,0.0520703125
484,179,5320.0,0.017317708333333334
491,182,315.0,0.001025390625
498,183,1711.0,0.005569661458333333
503,185,1568.0,0.005104166666666667
508,186,3124.0,0.010169270833333334
516,188,84.0,0.0002734375
521,190,130.0,0.00042317708333333335
551,197,3432.0,0.011171875
553,198,6144.0,0.0128
569,207,6428.603960695918,0.020926445184557028
570,207,339.37854585115525,0.0011047478706092293
571,208,3336.3942650676668,0.010860658414933812
573,208,226.1921260315689,0.0007363024935923467
577,210,4528.503443958244,0.014741222148301576
578,210,5404.191776866888,0.017591770106988567
582,211,849.4197795215764,0.0027650383447967984
583,211,280.9942635936674,0.0009146948684689694
591,218,207.9825529190326,0.000677026539449976
596,220,11518.925667700183,0.037496502824544864
599,220,3499.1725577810425,0.011390535669860164
605,221,812.3753522873341,0.0026444510165603325
615,225,2127.751868975888,0.006926275615155885
616,225,8899.84000771197,0.0289708333584374
622,227,19598.02581714264,0.06379565695684453
627,229,14056.891578159735,0.04575811060598872
636,231,504.61526428125893,0.0016426278134155565
638,232,1976.00101852413,0.006432294982174902
639,232,735.540732509857,0.002394338321972191
655,242,429.1090932329491,0.001396839496201006
656,242,171.93259964552493,0.0005596764311377765
657,242,11122.89363884861,0.03620733606396032
663,243,3407.3688436103253,0.011091695454460693
666,244,507.602540685336,0.0016523520204600782
669,244,1112.677654052129,0.0036219975717842736
702,250,98.07186731961714,0.0003192443597643787
718,254,2523.076321406292,0.008213139067077773
724,255,410.97204870961406,0.0013377996377266083
731,258,510.08974099309233,0.0016604483756285557
738,261,5197.064565589708,0.016917527882778997
744,262,5517.449459465445,0.017960447459197414
749,262,1658.3849823716876,0.00539838861449117
758,265,2366.075598029114,0.007702069004001022
763,267,3848.224877819631,0.01252677369081911
767,267,2805.4961026638985,0.009132474292525712
779,273,496.83043707865716,0.0016172865790320871
791,276,2228.270735740883,0.0072534854679065204
792,276,1007.9666620080839,0.003281141477890898
793,276,14107.309206669439,0.04592223049046041
811,282,725.5209212709533,0.0023617217489288844
812,282,6292.549941896239,0.02048356100877682
814,282,1019.7302000751482,0.00331943424503629
829,286,7005.013700020614,0.02280277897142127
